objectid,cropcatego,island,acrage,longitude,latitude
7792,Papaya,Big Island,0.54273672,-154.9289684,19.39882245
7793,Papaya,Big Island,1.81220074,-154.8941386,19.42462956
7794,Papaya,Big Island,24.64950776,-154.8926327,19.42759789
7795,Papaya,Big Island,243.97037,-154.8509445,19.45787426
7796,Papaya,Big Island,18.48869333,-154.87243,19.47438455
7797,Papaya,Big Island,38.31823213,-154.8806565,19.46541731
7798,Papaya,Big Island,3.92045293,-154.8526218,19.48724039
7799,Papaya,Big Island,50.96021163,-154.8451771,19.48886797
7800,Tropical Fruits,Big Island,2.23777248,-154.8699851,19.47377846
7801,Papaya,Big Island,8.28386945,-154.8945107,19.52558197
7802,Papaya,Big Island,4.59687253,-154.895688,19.52461275
7803,Papaya,Big Island,8.56765696,-154.8603972,19.50701803
7804,Papaya,Big Island,3.93294893,-154.8575189,19.50812914
8479,Banana,Big Island,1.32424958,-154.9362014,19.43059393
8480,Papaya,Big Island,105.6184027,-154.8976633,19.42185188
8481,Papaya,Big Island,35.11719944,-154.8598628,19.45792999
8482,Papaya,Big Island,27.42125563,-154.8594809,19.46381307
8483,Flowers / Foliage / Landscape,Big Island,3.32267092,-154.8531218,19.49617781
8484,Papaya,Big Island,7.5587961,-154.8611915,19.53228649
8485,Papaya,Big Island,17.52071385,-154.8668544,19.53205243
8486,Papaya,Big Island,25.94001879,-154.891549,19.52044551
8489,Papaya,Big Island,6.13382618,-154.8761762,19.52485551
8850,Papaya,Big Island,4.75603825,-154.8592073,19.53103259
8851,Papaya,Big Island,4.08940214,-154.8677058,19.5308617
8852,Papaya,Big Island,9.24732323,-154.8687218,19.52985703
8853,Papaya,Big Island,13.97462633,-154.8697347,19.52865532
8854,Papaya,Big Island,10.10934442,-154.853757,19.51191693
8855,Papaya,Big Island,10.0414299,-154.8514915,19.50329343
8856,Papaya,Big Island,47.60819205,-154.8447223,19.47723685
8857,Papaya,Big Island,12.86616861,-154.8395887,19.47909132
8858,Papaya,Big Island,10.37770172,-154.8885792,19.4359519
8859,Papaya,Big Island,3.8856552,-154.8903165,19.4261393
8860,Papaya,Big Island,17.98813325,-154.8912544,19.43091009
8861,Papaya,Big Island,14.19276956,-154.8973294,19.41658713
8862,Papaya,Big Island,4.4816336,-154.8964883,19.41860574
8863,Papaya,Big Island,5.62613198,-154.9147201,19.41724311
8864,Papaya,Big Island,5.34401592,-154.8595679,19.5049587
8865,Papaya,Big Island,18.33741048,-154.8599286,19.49539648
8866,Papaya,Big Island,28.59183028,-154.855915,19.50345748
8867,Papaya,Big Island,8.3827405,-154.8517464,19.50554694
8870,Papaya,Big Island,18.18727874,-154.8832753,19.52433789
8871,Papaya,Big Island,10.05393943,-154.8848166,19.52666605
8872,Papaya,Big Island,22.4959792,-154.8423471,19.4821016
8873,Papaya,Big Island,9.35593895,-154.9158354,19.41604634
8874,Papaya,Big Island,44.34676032,-154.9132041,19.41923882
8875,Papaya,Big Island,20.7698407,-154.9107475,19.41356217
8876,Papaya,Big Island,14.00891485,-154.9149285,19.42427759
8877,Papaya,Big Island,5.24289563,-154.9041134,19.44355877
8878,Papaya,Big Island,10.76985364,-154.855944,19.49603601
9097,Pasture,Big Island,203.2478282,-154.9907958,19.36404616
9099,Pasture,Big Island,313.1192882,-154.9976479,19.38856378
9100,Pasture,Big Island,20.33647077,-154.9628419,19.39330325
9105,Pasture,Big Island,49.84174092,-154.9801409,19.42120812
9107,Pasture,Big Island,144.0447125,-154.8948088,19.43422958
9109,Pasture,Big Island,37.46275929,-154.9133572,19.44453636
9113,Pasture,Big Island,165.5470662,-154.9749145,19.4545883
9115,Pasture,Big Island,85.46080059,-154.9708701,19.46367541
9120,Pasture,Big Island,24.9846678,-154.897106,19.47491776
9124,Pasture,Big Island,20.64438612,-154.9544811,19.48321584
9129,Pasture,Big Island,308.1512901,-154.9506735,19.48763212
